Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida
30617.51,2023-07-03 12:51:07.307244,30614.3,2023-07-03 12:51:15.778486,-0.3209999999999127
30656.08,2023-07-03 12:59:28.572374,30650.1,2023-07-03 12:59:37.075223,-0.5980000000003202
30658.82,2023-07-03 13:05:57.428024,30655.06,2023-07-03 13:06:37.059723,-0.37599999999983996
30653.84,2023-07-03 13:06:58.597189,30652.19,2023-07-03 13:07:15.966237,-0.16500000000014553
30648.05,2023-07-03 13:10:20.588206,30647.17,2023-07-03 13:10:29.337488,-0.08800000000010187
30649.84,2023-07-03 13:13:02.707379,30648.55,2023-07-03 13:14:51.558051,-0.12900000000008732
30640.03,2023-07-03 13:15:44.989470,30638.57,2023-07-03 13:15:53.508943,-0.1459999999999127
30634.43,2023-07-03 13:19:05.903284,30633.0,2023-07-03 13:20:07.862860,-0.1430000000000291
30633.96,2023-07-03 13:25:40.570575,30629.54,2023-07-03 13:26:54.661786,-0.4419999999998254
30629.92,2023-07-03 13:29:45.612258,30627.28,2023-07-03 13:30:25.105558,-0.2639999999999418
30623.99,2023-07-03 13:30:55.805670,30620.13,2023-07-03 13:31:21.593971,-0.38600000000005824
30631.29,2023-07-03 13:37:24.274109,30623.24,2023-07-03 13:37:46.233500,-0.8049999999999273
30626.46,2023-07-03 13:38:03.753749,30624.26,2023-07-03 13:38:34.406918,-0.22000000000007278
30646.43,2023-07-03 13:43:57.838070,30644.63,2023-07-03 13:44:06.496671,-0.17999999999992725
30694.82,2023-07-03 13:47:40.728574,30692.68,2023-07-03 13:47:53.814230,-0.2139999999999418
30683.99,2023-07-03 13:49:21.086406,30681.77,2023-07-03 13:49:29.634541,-0.22200000000011644
30689.91,2023-07-03 13:51:14.814853,30688.02,2023-07-03 13:51:19.155712,-0.1889999999999418
30688.03,2023-07-03 13:51:19.994700,30688.01,2023-07-03 13:51:20.447913,-0.0020000000000436557
30688.62,2023-07-03 13:51:21.292049,30687.97,2023-07-03 13:51:21.477404,-0.06499999999978172
30688.76,2023-07-03 13:51:22.318188,30687.84,2023-07-03 13:51:22.504412,-0.09199999999982539
30670.0,2023-07-03 13:52:07.368327,30657.09,2023-07-03 13:52:11.827995,-1.2909999999999855
30658.72,2023-07-03 13:52:13.701980,30658.62,2023-07-03 13:52:14.150674,-0.010000000000218279
30660.07,2023-07-03 13:52:28.894158,30659.82,2023-07-03 13:53:30.347071,-0.025
30647.46,2023-07-03 13:53:56.384530,30646.07,2023-07-03 13:54:05.340130,-0.1389999999999418
