Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Ganancia 0.01,Costo_Compra,Costo_Venta,Costo_xTrade
30601.75,34:26.2,30616.71,35:01.3,1.496,0.1496,0.3060175,0.3061671,0.9221846
30620.19,36:37.8,30628.69,37:26.1,0.85,0.085,0.3062019,0.3062869,0.9224888
30625.78,38:09.7,30626.34,38:53.2,0.056,0.0056,0.3062578,0.3062634,0.9225212
30631.24,39:19.7,30631.77,39:50.6,0.053,0.0053,0.3063124,0.3063177,0.9226301
30629.4,42:40.7,30637.15,43:28.8,0.775,0.0775,0.306294,0.3063715,0.9226655
30635.18,45:18.3,30641.97,46:42.1,0.679,0.0679,0.3063518,0.3064197,0.9227715
30614.3,51:33.2,30626.14,52:17.0,1.184,0.1184,0.306143,0.3062614,0.9224044
30629.14,52:21.5,30629.76,52:34.4,0.062,0.0062,0.3062914,0.3062976,0.922589
30624.68,54:02.3,30632.48,55:25.6,0.78,0.078,0.3062468,0.3063248,0.9225716
30631.21,57:05.8,30635.71,58:05.7,0.45,0.045,0.3063121,0.3063571,0.9226692
30638.42,58:31.6,30649.47,59:06.4,1.105,0.1105,0.3063842,0.3064947,0.9228789
30655.36,00:07.8,30657.14,00:34.2,0.178,0.0178,0.3065536,0.3065714,0.923125
30659.8,01:00.3,30670.57,01:48.3,1.077,0.1077,0.306598,0.3067057,0.9233037
30660.04,03:50.6,30664.97,04:52.0,0.493,0.0493,0.3066004,0.3066497,0.9232501
30643.79,07:55.5,30651.94,08:52.1,0.815,0.0815,0.3064379,0.3065194,0.9229573
30647.18,10:38.0,30653.55,11:57.2,0.637,0.0637,0.3064718,0.3065355,0.9230073
30638.6,16:07.1,30639.15,18:13.9,0.055,0.0055,0.306386,0.3063915,0.9227775
30632.53,20:34.3,30638.77,22:10.3,0.624,0.0624,0.3063253,0.3063877,0.922713
30639.63,22:14.7,30639.87,22:36.7,0.024,0.0024,0.3063963,0.3063987,0.922795
30638.74,23:42.2,30641.75,24:26.0,0.301,0.0301,0.3063874,0.3064175,0.9228049
30628.63,27:25.3,30636.88,28:39.9,0.825,0.0825,0.3062863,0.3063688,0.9226551
30625.21,31:26.1,30634.9,32:05.5,0.969,0.0969,0.3062521,0.306349,0.9226011
30620.76,33:06.5,30632.24,34:51.5,1.148,0.1148,0.3062076,0.3063224,0.92253
30633.85,35:26.5,30635.98,36:10.4,0.213,0.0213,0.3063385,0.3063598,0.9226983
30624.14,39:00.4,30629.76,40:01.8,0.562,0.0562,0.3062414,0.3062976,0.922539
30633.9,40:10.5,30641.73,40:41.0,0.783,0.0783,0.306339,0.3064173,0.9227563
30642.67,42:08.5,30644.97,42:34.7,0.23,0.023,0.3064267,0.3064497,0.9228764
30647.72,44:10.8,30649.17,44:41.5,0.145,0.0145,0.3064772,0.3064917,0.9229689
30650.81,45:33.8,30667.73,46:26.4,1.692,0.1692,0.3065081,0.3066773,0.9231854
30671.11,46:39.5,30686.35,47:05.5,1.524,0.1524,0.3067111,0.3068635,0.9235746
30683.08,49:47.2,30687.87,50:39.8,0.479,0.0479,0.3068308,0.3068787,0.9237095
30657.91,52:12.6,30658.01,52:13.1,0.01,0.001,0.3065791,0.3065801,0.9231592
30636.69,55:42.0,30646,56:56.3,0.931,0.0931,0.3063669,0.30646,0.9228269
30647.07,57:05.1,30647.29,57:32.0,0.022,0.0022,0.3064707,0.3064729,0.9229436
30643.02,59:29.8,30654.15,00:26.6,1.113,0.1113,0.3064302,0.3065415,0.9229717
30664.65,00:39.5,30666.48,01:19.0,0.183,0.0183,0.3066465,0.3066648,0.9233113
30663.25,02:03.0,30672.8,02:42.5,0.955,0.0955,0.3066325,0.306728,0.9233605
30675.41,02:46.9,30683.8,03:26.0,0.839,0.0839,0.3067541,0.306838,0.9235921
